year,species_code,comp_type,iss_age,base_iss_length,sub_iss_length,sub_samp,region,bin
2017,10110,female,363.2475646630297,2121.9866627348506,1532.3620312902724,t50,goa,2cm
2017,10110,male,163.0281585805985,1039.6379225427047,757.9826822786871,t50,goa,2cm
2017,10110,total,501.02788829491607,2694.930152882219,2056.5765903392867,t50,goa,2cm
2017,10130,female,87.06564698241449,1036.9446585302494,671.3553966213568,t50,goa,2cm
2017,10130,male,83.66630045056637,728.9452972887339,514.6386243200991,t50,goa,2cm
2017,10130,total,163.90855459827014,1295.9832644057842,947.6388774522824,t50,goa,2cm
2017,10200,female,166.34335102567684,709.6760324790442,613.3360640605146,t50,goa,2cm
2017,10200,male,124.62514662454552,256.4198128511092,232.0237996816697,t50,goa,2cm
2017,10200,total,263.3702215024617,651.5625278191341,588.2053806218053,t50,goa,2cm
2017,10261,female,136.81660707310678,509.98096326793774,408.97630838884066,t50,goa,2cm
2017,10261,male,69.24167531582208,306.6482968628743,243.8865255053388,t50,goa,2cm
2017,10261,total,170.90031876611394,671.4148012175955,558.5654673587792,t50,goa,2cm
2017,21720,female,79.20276392579815,376.2380138231268,361.0990039813622,t50,goa,2cm
2017,21720,male,68.63802636546296,317.4177655334337,302.03214587836385,t50,goa,2cm
2017,21720,total,111.821554893173,515.9638349806039,499.4621272773735,t50,goa,2cm
2017,21740,female,13.783059499090228,40.2392529344867,37.21540499176618,t50,goa,2cm
2017,21740,male,16.346609468611465,39.24553262084829,36.0399010326038,t50,goa,2cm
2017,21740,total,16.766621789424438,47.621836161314214,45.857978157419005,t50,goa,2cm
2017,30060,female,180.3669576525444,199.57108480824553,163.0728480552271,t50,goa,2cm
2017,30060,male,159.54398905697738,147.94750113337068,126.85404950628096,t50,goa,2cm
2017,30060,total,292.2296919767621,231.89358514910967,206.99759495067337,t50,goa,2cm
2017,30420,female,106.03077402121164,50.35699085100103,43.38902792051899,t50,goa,2cm
2017,30420,male,84.61399314452187,120.61243782928412,74.64904318672839,t50,goa,2cm
2017,30420,total,175.76978917411634,103.8482900563518,84.67043213319386,t50,goa,2cm
2019,10110,female,397.1327898671188,3151.667833658116,2225.759817116608,t50,goa,2cm
2019,10110,male,235.75891336560147,1861.474439826104,1269.4074087667543,t50,goa,2cm
2019,10110,total,588.8962127335409,3837.985199822134,2895.720909209457,t50,goa,2cm
2019,10130,female,71.07370630595767,703.4264188511754,559.0611986894504,t50,goa,2cm
2019,10130,male,83.62066666135061,457.9857057623641,390.16713532623817,t50,goa,2cm
2019,10130,total,143.5284087960081,771.5476828140454,670.255125350108,t50,goa,2cm
2019,10200,female,197.1178767516136,851.2684249047867,725.5094437195954,t50,goa,2cm
2019,10200,male,153.31454588311414,501.91244452664824,444.1715851200385,t50,goa,2cm
2019,10200,total,327.56060339516614,997.3232008025724,897.2902962959819,t50,goa,2cm
2019,21720,female,50.863653636573595,170.31019329865765,136.6665683079805,t50,goa,2cm
2019,21720,male,60.09363918143959,175.84208917947237,137.045317831924,t50,goa,2cm
2019,21720,total,67.91140675394067,208.11483598885047,179.34671072970562,t50,goa,2cm
2019,21740,female,105.26922228107657,246.55745185427497,215.6767420044139,t50,goa,2cm
2019,21740,male,88.38398041130624,165.35069392094496,142.42289394680148,t50,goa,2cm
2019,21740,total,87.73074291064333,186.9310442715346,176.57181675158537,t50,goa,2cm
2019,30060,female,217.91025848853187,396.32449606992833,324.49281058093675,t50,goa,2cm
2019,30060,male,221.28788225316913,281.1514366066987,241.02538392514575,t50,goa,2cm
2019,30060,total,327.06474243115446,385.6231998980477,349.63649656963383,t50,goa,2cm
2019,30420,female,98.06241116971904,79.2057493090501,65.99321006942054,t50,goa,2cm
2019,30420,male,72.5986412196761,160.35684186240047,91.36225750771216,t50,goa,2cm
2019,30420,total,168.97812792771143,165.1393748255885,131.2438735099462,t50,goa,2cm
2021,10130,female,133.12265644483514,982.21533629323,681.5447101619128,t50,goa,2cm
2021,10130,male,94.64059373337996,823.1975830192881,601.650333861193,t50,goa,2cm
2021,10130,total,212.89261089857987,1367.9779841425034,1051.3635934022875,t50,goa,2cm
2021,21720,female,140.9178041778042,603.1188278383524,567.1740544792524,t50,goa,2cm
2021,21720,male,110.68937657208724,530.6412345742643,502.36174171703584,t50,goa,2cm
2021,21720,total,191.81589577012633,849.6131611617883,815.687023412694,t50,goa,2cm
2021,21740,female,86.71486351245449,238.99603696878305,206.84154535872747,t50,goa,2cm
2021,21740,male,83.1965680802103,218.37861703014573,191.0908801765182,t50,goa,2cm
2021,21740,total,91.41902816892475,253.76722296987015,235.56519019420804,t50,goa,2cm
2021,30060,female,195.77161646391696,198.34145818132697,161.6004404098824,t50,goa,2cm
2021,30060,male,250.05582565661135,192.67526090798603,159.24080618991488,t50,goa,2cm
2021,30060,total,373.99001349278734,237.79015406377167,210.862557680162,t50,goa,2cm
2021,30420,female,106.60824872318116,87.8056174505339,62.34067443439754,t50,goa,2cm
2021,30420,male,115.749279042987,195.21090468638153,121.85553280609028,t50,goa,2cm
2021,30420,total,209.83472169346987,194.8179942691428,144.23155288065865,t50,goa,2cm
2017,10110,female,366.87058963323375,2007.0268128722048,1865.197112787686,t100,goa,2cm
2017,10110,male,158.56345695700827,1091.4950428712484,1004.632629473516,t100,goa,2cm
2017,10110,total,498.1273380510568,2674.27220814813,2511.5168726868633,t100,goa,2cm
2017,10130,female,86.19973308908826,1079.6092404590793,969.2944536137668,t100,goa,2cm
2017,10130,male,80.74425215748073,747.6743746597667,668.1466635121637,t100,goa,2cm
2017,10130,total,157.88498359878224,1365.325928339039,1246.8248314195653,t100,goa,2cm
2017,10200,female,167.34602990734712,734.8334585264577,726.7704742211296,t100,goa,2cm
2017,10200,male,128.4488502260009,270.6856181663367,268.73515363409166,t100,goa,2cm
2017,10200,total,271.5546332788907,698.1859633727299,691.5996290033172,t100,goa,2cm
2017,10261,female,136.52983139752067,497.1872426728469,478.94815375293337,t100,goa,2cm
2017,10261,male,76.57987514495179,282.7448334571172,269.5585183904778,t100,goa,2cm
2017,10261,total,183.01563384094356,643.7663837393544,620.8027906171575,t100,goa,2cm
2017,21720,female,80.94247667185935,369.5082503200447,369.5082503200447,t100,goa,2cm
2017,21720,male,67.44285108114907,325.0483733281268,325.0483733281268,t100,goa,2cm
2017,21720,total,116.01637815780924,519.4001687764123,519.4001687764123,t100,goa,2cm
2017,21740,female,14.115939027094472,42.60262081160445,41.76167178988275,t100,goa,2cm
2017,21740,male,16.878539592285577,42.26949616040497,41.49955036808495,t100,goa,2cm
2017,21740,total,17.300835584839856,50.76576700768692,50.31516105220062,t100,goa,2cm
2017,30060,female,173.38083354379552,195.56459593444632,185.2391304132736,t100,goa,2cm
2017,30060,male,160.4509804758714,162.68414202992224,154.49662437624056,t100,goa,2cm
2017,30060,total,285.3027403956637,240.0864678090555,231.5160300222282,t100,goa,2cm
2017,30420,female,100.14751571583574,47.30805607834449,45.25822239412384,t100,goa,2cm
2017,30420,male,81.39534910878719,107.75723532748864,92.53090840283356,t100,goa,2cm
2017,30420,total,168.4705349595305,97.90869149873616,92.54560450612526,t100,goa,2cm
2019,10110,female,384.547452117392,3043.7235178100136,2781.653426348576,t100,goa,2cm
2019,10110,male,239.4918448596948,1823.1050272906236,1629.711757670066,t100,goa,2cm
2019,10110,total,576.476491100611,3663.30912301855,3411.140156640988,t100,goa,2cm
2019,10130,female,69.77920016872679,677.6449830894683,659.5903030243722,t100,goa,2cm
2019,10130,male,81.21082975460494,435.742450070762,428.6982285045956,t100,goa,2cm
2019,10130,total,142.00858672981346,741.4890324799311,730.3836825257235,t100,goa,2cm
2019,10200,female,193.88126093893447,820.150200892743,799.7964150635145,t100,goa,2cm
2019,10200,male,150.65580960187992,492.3799754830512,487.9943648855861,t100,goa,2cm
2019,10200,total,317.72370891066515,977.7244690967748,968.6050423165736,t100,goa,2cm
2019,21720,female,52.11287130997042,165.556224544114,155.41755889418835,t100,goa,2cm
2019,21720,male,56.047890178180424,173.3846357133105,163.98687680672927,t100,goa,2cm
2019,21720,total,66.70030996540801,203.26986105172597,197.05055875815376,t100,goa,2cm
2019,21740,female,103.40520234046949,246.97014792444452,231.5795033792161,t100,goa,2cm
2019,21740,male,89.60361156258644,166.09666423372963,159.10089156144136,t100,goa,2cm
2019,21740,total,86.9488435171877,183.39260064287043,178.54520317016338,t100,goa,2cm
2019,30060,female,217.7582177556973,395.788393591535,372.0013453811979,t100,goa,2cm
2019,30060,male,224.80627894692464,295.6244258025581,279.51488954132986,t100,goa,2cm
2019,30060,total,328.0177435339096,395.9439356975401,381.868202514726,t100,goa,2cm
2019,30420,female,105.02353330752574,81.29110668656695,74.78344088486482,t100,goa,2cm
2019,30420,male,73.80917673006485,159.36945846322362,134.53758646940753,t100,goa,2cm
2019,30420,total,179.01533466908396,168.61158371319846,152.8524563673207,t100,goa,2cm
2021,10130,female,125.53715041463096,1021.6323942333148,937.3133976201136,t100,goa,2cm
2021,10130,male,97.87609837309864,859.3699100967741,791.1299917285481,t100,goa,2cm
2021,10130,total,210.71753212342256,1426.6077223595294,1344.1718760244414,t100,goa,2cm
2021,21720,female,144.9715033144896,609.7102754929737,607.6465243242017,t100,goa,2cm
2021,21720,male,112.34037276719717,538.9150048221039,537.0434302405587,t100,goa,2cm
2021,21720,total,195.73439682392527,875.5281384430672,873.2450136876407,t100,goa,2cm
2021,21740,female,90.14211394344856,242.44207110633573,230.97304027924568,t100,goa,2cm
2021,21740,male,84.02286027946563,214.44888253075183,202.01921360380865,t100,goa,2cm
2021,21740,total,93.78160687888273,256.54506998589824,249.5994998403907,t100,goa,2cm
2021,30060,female,189.39734408732957,180.660309928651,168.26406964649075,t100,goa,2cm
2021,30060,male,239.8429203247876,169.95290699820225,162.1243958147113,t100,goa,2cm
2021,30060,total,357.1133472181636,213.83618005727809,205.485449597888,t100,goa,2cm
2021,30420,female,109.798123983135,96.66368067752369,86.74132988242108,t100,goa,2cm
2021,30420,male,118.8513624315834,213.33060246421505,180.67699849494988,t100,goa,2cm
2021,30420,total,214.0051033623311,205.2915463379414,185.89879037700055,t100,goa,2cm
2017,10110,female,369.514649315979,2091.019850058138,2058.0850030005763,t150,goa,2cm
2017,10110,male,161.99958059462023,1077.8279917541147,1050.4440573689803,t150,goa,2cm
2017,10110,total,515.4943781016864,2721.7931681731784,2673.5497088204374,t150,goa,2cm
2017,10130,female,87.433230052739,1038.918058037539,1019.01514135841,t150,goa,2cm
2017,10130,male,84.59951543116652,680.2321482988962,675.1830961608528,t150,goa,2cm
2017,10130,total,167.1292770643952,1238.310213563664,1229.05705541969,t150,goa,2cm
2017,10200,female,167.32439254527785,701.9125868763109,701.3274685060322,t150,goa,2cm
2017,10200,male,124.31985033525127,280.7461636613867,280.58867186613753,t150,goa,2cm
2017,10200,total,272.48257446790757,710.683888054097,710.6916360806515,t150,goa,2cm
2017,10261,female,133.99414082420992,519.9183509839486,516.3739039909537,t150,goa,2cm
2017,10261,male,75.5169827313364,295.7468036892635,293.95274380083805,t150,goa,2cm
2017,10261,total,174.56039902703793,683.9100499652264,678.4652593607119,t150,goa,2cm
2017,21720,female,74.95637188312662,366.035938926684,366.035938926684,t150,goa,2cm
2017,21720,male,63.898675820792235,312.1397366234614,312.1397366234614,t150,goa,2cm
2017,21720,total,105.86539126779176,495.9576167443682,495.9576167443682,t150,goa,2cm
2017,21740,female,13.966312687996917,40.60362425467662,40.331574745319415,t150,goa,2cm
2017,21740,male,16.758588316467865,39.50414908396717,39.348818234884085,t150,goa,2cm
2017,21740,total,16.91905515250268,47.93088384008651,47.77880568527154,t150,goa,2cm
2017,30060,female,174.9857827071372,190.4871377318945,189.0443915549099,t150,goa,2cm
2017,30060,male,160.1011067206484,147.61683902947644,145.71301589520954,t150,goa,2cm
2017,30060,total,285.18274029779764,224.7251709863679,223.2617424943072,t150,goa,2cm
2017,30420,female,101.78103113136352,55.87157778052506,55.356056621903825,t150,goa,2cm
2017,30420,male,81.9773957759614,117.5036060604317,116.62329216978723,t150,goa,2cm
2017,30420,total,169.2503539623955,107.62729258394349,106.78116864905265,t150,goa,2cm
2019,10110,female,375.4324031941963,3167.05046686321,3087.0668185333607,t150,goa,2cm
2019,10110,male,244.54598802917835,1911.4626768714784,1850.1858917379468,t150,goa,2cm
2019,10110,total,558.0420203256829,3881.020457569764,3794.2595392833423,t150,goa,2cm
2019,10130,female,70.09478938975312,677.6474406792619,674.7348563853697,t150,goa,2cm
2019,10130,male,84.59967587421959,451.06468128683906,450.1638530275018,t150,goa,2cm
2019,10130,total,143.96205021618863,754.5764294141534,753.2167969830159,t150,goa,2cm
2019,10200,female,196.74528655102995,852.0805022461585,847.7038319300483,t150,goa,2cm
2019,10200,male,152.57778050879634,502.2236331069092,501.8715410842285,t150,goa,2cm
2019,10200,total,324.1733840901827,996.0225155011088,994.454412460934,t150,goa,2cm
2019,21720,female,53.87224175888798,170.58322815992747,168.90401980593325,t150,goa,2cm
2019,21720,male,57.95181025367235,173.015776174346,171.54965434605464,t150,goa,2cm
2019,21720,total,67.25769872387201,207.6253938651644,206.59285028035305,t150,goa,2cm
2019,21740,female,104.81303569388471,243.69559396168367,239.69737334993152,t150,goa,2cm
2019,21740,male,86.44479028198931,158.63232181668,156.50682044620297,t150,goa,2cm
2019,21740,total,83.04636034846669,176.63731888011682,175.82340347260785,t150,goa,2cm
2019,30060,female,230.89017177952024,421.4987251763715,417.497128986136,t150,goa,2cm
2019,30060,male,238.6046822566867,303.9551266789612,301.67670078955166,t150,goa,2cm
2019,30060,total,353.8695322135392,419.0897397897946,416.8387518873734,t150,goa,2cm
2019,30420,female,103.2947421782928,75.66507744119801,75.48461498145554,t150,goa,2cm
2019,30420,male,72.35069823865825,161.50890550682303,159.460005037411,t150,goa,2cm
2019,30420,total,173.6772935374095,161.71487337430636,160.812366434003,t150,goa,2cm
2021,10130,female,122.6383082256463,1002.725372336335,983.240492857356,t150,goa,2cm
2021,10130,male,93.9482288334136,874.7425198409335,860.186204910905,t150,goa,2cm
2021,10130,total,205.47096810513915,1449.224519054841,1431.6167641133932,t150,goa,2cm
2021,21720,female,141.20011945599492,625.6668703641243,625.5159225409677,t150,goa,2cm
2021,21720,male,105.23868441087048,542.5020089025388,542.1369890948141,t150,goa,2cm
2021,21720,total,188.6384492878952,883.8248542410681,883.7134930041865,t150,goa,2cm
2021,21740,female,86.65390313445751,241.05810577368084,236.37202965187765,t150,goa,2cm
2021,21740,male,78.92638530499283,210.58322301023057,207.489690333264,t150,goa,2cm
2021,21740,total,88.55285811962831,254.1173637322807,252.4422244176845,t150,goa,2cm
2021,30060,female,188.23481050166723,194.13149054512553,193.47921576287112,t150,goa,2cm
2021,30060,male,241.26667675670836,180.51930691643793,180.4133648463174,t150,goa,2cm
2021,30060,total,351.2220102121536,228.6598396991845,228.9375361938245,t150,goa,2cm
2021,30420,female,107.93281160782814,94.87934641418516,93.02380210819436,t150,goa,2cm
2021,30420,male,114.11068407697071,208.1469186666484,199.74534080440657,t150,goa,2cm
2021,30420,total,206.31061561855427,206.86205085895315,201.692515111136,t150,goa,2cm
2017,10110,female,367.722145604444,2108.460725788677,2100.0849241528936,t200,goa,2cm
2017,10110,male,167.40469005524417,1035.6401013280029,1032.5665519280858,t200,goa,2cm
2017,10110,total,494.3188657463259,2596.3880303599763,2590.061764882053,t200,goa,2cm
2017,10130,female,89.36190065256724,1087.1763084383506,1086.3947408618017,t200,goa,2cm
2017,10130,male,83.21028040355523,730.5098103135747,729.8232192020594,t200,goa,2cm
2017,10130,total,164.68043910943285,1330.0893686829486,1330.5493822758308,t200,goa,2cm
2017,10200,female,165.8071799326268,728.0838660410947,728.0838660410947,t200,goa,2cm
2017,10200,male,123.5993299403058,274.24905198653005,274.24905198653005,t200,goa,2cm
2017,10200,total,264.5928267864614,694.2382838484227,694.2382838484227,t200,goa,2cm
2017,10261,female,131.73154783715884,507.5857847914239,507.00958983209335,t200,goa,2cm
2017,10261,male,74.46098152254098,296.3007930332176,296.2257485275598,t200,goa,2cm
2017,10261,total,168.75680785523295,666.7124376766276,665.9883486086069,t200,goa,2cm
2017,21720,female,77.56385439503235,384.1577706238598,384.1577706238598,t200,goa,2cm
2017,21720,male,67.92996546727112,321.8773682692552,321.8773682692552,t200,goa,2cm
2017,21720,total,112.80073133923509,528.6105185503993,528.6105185503993,t200,goa,2cm
2017,21740,female,12.718225647560848,38.85040365556879,38.83441952722342,t200,goa,2cm
2017,21740,male,16.236897556877754,39.33466283192447,39.33487729952259,t200,goa,2cm
2017,21740,total,16.046308151948434,46.85000152310515,46.83935959945613,t200,goa,2cm
2017,30060,female,179.23995347755152,202.02215030907448,201.71033280390424,t200,goa,2cm
2017,30060,male,165.2598097412058,160.43087459601605,160.3051972846873,t200,goa,2cm
2017,30060,total,297.79486873417596,241.79962104755995,241.62728122508452,t200,goa,2cm
2017,30420,female,102.1508083571532,50.79891008796113,50.79891008796113,t200,goa,2cm
2017,30420,male,83.4616268317303,119.55314334394518,119.55314334394518,t200,goa,2cm
2017,30420,total,170.12537478688216,104.030086944746,104.030086944746,t200,goa,2cm
2019,10110,female,392.08504493102544,3135.742323933818,3109.622394198698,t200,goa,2cm
2019,10110,male,222.4931476483769,1934.2070745025983,1921.5788759951388,t200,goa,2cm
2019,10110,total,566.3665168464776,3871.5186886751058,3852.826410570921,t200,goa,2cm
2019,10130,female,66.0085665149106,686.8958621350099,686.6921438049038,t200,goa,2cm
2019,10130,male,82.55841716509399,437.2771781189921,436.78377266091354,t200,goa,2cm
2019,10130,total,136.97158067846598,744.0848704416346,743.5984849138019,t200,goa,2cm
2019,10200,female,204.31434939104204,813.9250295652279,813.9250295652279,t200,goa,2cm
2019,10200,male,152.92681225889925,471.3070709293488,471.3070709293488,t200,goa,2cm
2019,10200,total,318.49626726674467,928.9389745242012,928.9389745242012,t200,goa,2cm
2019,21720,female,52.78558750487472,165.77663530709594,165.77663530709594,t200,goa,2cm
2019,21720,male,58.38517106327004,176.7950829397912,176.7950829397912,t200,goa,2cm
2019,21720,total,68.30267535382568,205.6227842730691,205.6227842730691,t200,goa,2cm
2019,21740,female,101.76881643522648,237.8935655799329,236.72385963601664,t200,goa,2cm
2019,21740,male,84.33575575259366,155.882180091432,155.3462783930444,t200,goa,2cm
2019,21740,total,83.25667573777105,177.50465144925045,177.22693719843903,t200,goa,2cm
2019,30060,female,235.91161622437855,441.8093177695378,441.06336924636264,t200,goa,2cm
2019,30060,male,243.0055705107356,327.4979883685384,327.41158545427453,t200,goa,2cm
2019,30060,total,363.11351512231016,447.7977738295776,447.4930305053654,t200,goa,2cm
2019,30420,female,102.33506252760596,75.10097358347377,75.10097358347377,t200,goa,2cm
2019,30420,male,74.93665112571215,161.92237280395227,161.92237280395227,t200,goa,2cm
2019,30420,total,174.31434746026667,162.09461803344612,162.09461803344612,t200,goa,2cm
2021,10130,female,128.8636225900507,979.6701919558052,978.6633460299904,t200,goa,2cm
2021,10130,male,96.4956225460581,872.1896679874868,872.1506132885107,t200,goa,2cm
2021,10130,total,212.83251966361377,1393.786571565414,1393.6017556173724,t200,goa,2cm
2021,21720,female,148.8240006797262,610.2512476546817,610.2512476546817,t200,goa,2cm
2021,21720,male,109.25070469295554,508.9043474378114,508.9043474378114,t200,goa,2cm
2021,21720,total,197.75941887113643,841.235359051541,841.235359051541,t200,goa,2cm
2021,21740,female,82.32497522359228,229.4683516248773,228.3651666249343,t200,goa,2cm
2021,21740,male,77.72615619889844,204.29874404342772,203.1156219080632,t200,goa,2cm
2021,21740,total,85.8652816092864,244.1421020050236,243.61002654125673,t200,goa,2cm
2021,30060,female,190.6541863489041,191.663373074446,191.7187876701843,t200,goa,2cm
2021,30060,male,243.7838997595975,182.53619228907257,182.5194308096686,t200,goa,2cm
2021,30060,total,361.6418621487421,225.75917431565517,225.77716331615204,t200,goa,2cm
2021,30420,female,109.99165941024197,95.5566488818068,95.43286085461727,t200,goa,2cm
2021,30420,male,117.91476706292818,222.2329968386138,222.61120851239775,t200,goa,2cm
2021,30420,total,212.67836274817003,211.4754643416937,211.52989465242615,t200,goa,2cm
2017,10110,female,365.47445752619063,2192.724490463955,2190.525456315033,t250,goa,2cm
2017,10110,male,160.17159725648375,1053.3528896018777,1052.9341436998718,t250,goa,2cm
2017,10110,total,487.6591691015669,2826.421459508814,2825.3206649104013,t250,goa,2cm
2017,10130,female,85.93039406440224,1086.4275010763993,1086.4275010763993,t250,goa,2cm
2017,10130,male,85.73410687617603,738.7471195731096,738.7471195731096,t250,goa,2cm
2017,10130,total,165.20000318204993,1353.2450815471152,1353.2450815471152,t250,goa,2cm
2017,10200,female,168.642243034442,715.0175847112644,715.0175847112644,t250,goa,2cm
2017,10200,male,126.68337625336696,290.70700334666776,290.70700334666776,t250,goa,2cm
2017,10200,total,271.3240272663539,715.0087741170513,715.0087741170513,t250,goa,2cm
2017,10261,female,138.29465487953672,512.0949427474757,512.0949427474757,t250,goa,2cm
2017,10261,male,69.33548445494388,308.2202690930671,308.2202690930671,t250,goa,2cm
2017,10261,total,172.96583311319586,676.8246633655874,676.8246633655874,t250,goa,2cm
2017,21720,female,82.21343138450607,371.3317409613704,371.3317409613704,t250,goa,2cm
2017,21720,male,66.1624692287256,314.7159996137621,314.7159996137621,t250,goa,2cm
2017,21720,total,114.05969651031856,506.5833539097507,506.5833539097507,t250,goa,2cm
2017,21740,female,14.430778767520946,41.552009901827695,41.55765990259378,t250,goa,2cm
2017,21740,male,17.32652193899438,39.98883936860125,39.97180209749788,t250,goa,2cm
2017,21740,total,17.410894044801214,48.9779458070415,48.97370731993891,t250,goa,2cm
2017,30060,female,179.6231934932155,204.0720323105729,204.0763608144785,t250,goa,2cm
2017,30060,male,163.25131757030908,151.41529213604727,151.41233035916247,t250,goa,2cm
2017,30060,total,294.25825818955184,236.5498121153435,236.5528825059184,t250,goa,2cm
2017,30420,female,101.8128128403138,51.59143753511781,51.59143753511781,t250,goa,2cm
2017,30420,male,82.26799255373456,116.15307985931514,116.15307985931514,t250,goa,2cm
2017,30420,total,170.43784122518255,102.81804415234956,102.81804415234956,t250,goa,2cm
2019,10110,female,377.85052112638976,3150.550826544353,3149.5790915482207,t250,goa,2cm
2019,10110,male,231.40170033915692,1782.116769349858,1781.232705879602,t250,goa,2cm
2019,10110,total,571.0314198719592,3774.140832433681,3774.3385023284527,t250,goa,2cm
2019,10130,female,68.76107884069278,652.9009221824431,652.8153397251049,t250,goa,2cm
2019,10130,male,80.61544801129395,415.1736540521792,415.2598129363363,t250,goa,2cm
2019,10130,total,135.7061877399974,681.9005617166981,681.9520659356926,t250,goa,2cm
2019,10200,female,201.8607651049365,799.0578046280199,799.0578046280199,t250,goa,2cm
2019,10200,male,147.39005994034568,449.01457925586783,449.01457925586783,t250,goa,2cm
2019,10200,total,313.2814852857446,888.8763364399119,888.8763364399119,t250,goa,2cm
2019,21720,female,50.3481208956453,161.86637507408295,161.86637507408295,t250,goa,2cm
2019,21720,male,53.45349533221087,162.54071069040873,162.54071069040873,t250,goa,2cm
2019,21720,total,62.851045907354845,192.90421409680943,192.90421409680943,t250,goa,2cm
2019,21740,female,106.09615461261018,245.69575353857417,245.06559160955803,t250,goa,2cm
2019,21740,male,92.55597616031469,161.63402543019052,161.26955952599627,t250,goa,2cm
2019,21740,total,88.89853297599119,182.67408156300397,182.5007639342619,t250,goa,2cm
2019,30060,female,221.2318712744733,411.1618230301006,411.12943162498306,t250,goa,2cm
2019,30060,male,228.5050488321071,297.348882633731,297.3650097195429,t250,goa,2cm
2019,30060,total,338.6460926033716,405.716891474039,405.71849549245144,t250,goa,2cm
2019,30420,female,104.64777141288585,80.12176784887482,80.12176784887482,t250,goa,2cm
2019,30420,male,72.63581766208033,171.55506236815734,171.55506236815734,t250,goa,2cm
2019,30420,total,171.75496449220884,173.48332913722348,173.48332913722348,t250,goa,2cm
2021,10130,female,126.62454799450336,970.7320361972712,970.7320361972712,t250,goa,2cm
2021,10130,male,94.99001236273604,849.189841587801,849.189841587801,t250,goa,2cm
2021,10130,total,208.7116396807847,1396.339704122865,1396.339704122865,t250,goa,2cm
2021,21720,female,150.6348782221669,619.904486127885,619.904486127885,t250,goa,2cm
2021,21720,male,113.54313609733288,536.5068430942734,536.5068430942734,t250,goa,2cm
2021,21720,total,209.1437530231032,878.8943770121818,878.8943770121818,t250,goa,2cm
2021,21740,female,84.11552451719659,233.8583890037193,233.000390368057,t250,goa,2cm
2021,21740,male,77.88352304896353,205.9287012032189,206.07355454720977,t250,goa,2cm
2021,21740,total,86.84484074056067,246.5068181270545,246.23733213832963,t250,goa,2cm
2021,30060,female,194.69440262842,188.7587999171944,188.741780748072,t250,goa,2cm
2021,30060,male,243.68326265037985,173.7330709045079,173.71926422688,t250,goa,2cm
2021,30060,total,360.76604829296144,219.61628740345645,219.60131850539088,t250,goa,2cm
2021,30420,female,104.64462332197822,89.96157321396251,89.96157321396251,t250,goa,2cm
2021,30420,male,112.5507433774638,190.6245571742643,190.6245571742643,t250,goa,2cm
